Size adam-ar-c adam-rs-c-ag adam-fuse-rs-c-ag FusedAdam AllReduceBW
1024 0.11936740460700687 0.10761342279168347 0.1458007149131655 1.0 0.14871672921142884
2048 4.020826711262749 2.9466625092904537 3.7783020685487956 1.0 4.702406595463373
4096 3.9554858046316377 2.8287017957950917 3.2531821564684993 1.0 4.561993335290714
8192 3.919531369972478 2.809684914244224 3.2093660058992834 1.0 4.484597502973265
16384 3.8842191080825432 2.647166822073213 3.035161179496915 1.0 4.4444360703802674
32768 4.042693681302575 2.893780883873577 3.398187129090962 1.0 4.568908992141925
65536 3.5613594545773957 2.606187745416815 3.3475631281487432 1.0 3.9814521044833624
131072 2.4793256170370035 1.3797017890523382 3.1948837314917187 1.0 3.258781406121553
262144 1.8561955262545504 1.3954328290531772 3.233166406728414 1.0 3.297829734862982
524288 1.5782623120544115 1.1697152655909961 2.608020484842618 1.0 2.66018089453947
1048576 1.2945882746831598 1.1122879425977013 1.9984204405312989 1.0 2.0383888493419247
2097152 1.0065608991028998 1.036197722379034 1.9257159940571846 1.0 1.9642303139383284
4194304 1.046931274570757 1.0691748324476193 1.8918050370099575 1.0 1.9296411377501568
8388608 1.1998220025829063 1.2536111065538065 2.470341811466995 1.0 2.5197486476963347
16777216 1.058837719260358 1.149869588206844 2.4059493330356916 1.0 2.4540683196964053
33554432 1.0211737145627318 1.1179157102637856 2.330562565814599 1.0 2.3771738171308914
67108864 1.0105923943446171 1.1081770267442579 2.315770075295191 1.0 2.362085476801095
134217728 1.0050677520898488 1.1049137393515427 2.293853418666148 1.0 2.339730487039471
268435456 1.004431079999637 1.1054385158498512 2.2886040085950143 1.0 2.3343760887669145
536870912 1.001668672519288 1.105871370162359 2.2842949787668476 1.0 2.3299808783421847
1073741824 1.0 1.0 1.0 1.0 1095216660.48
