Size lamb-ar-c lamb-rs-c-ag lamb-fuse-rs-c-ag FusedLamb AllReduceBW
1024 0.22764478635854896 0.23142719770439157 0.19869751880080855 1.0 0.23967025714063284
2048 10.62701206469922 7.499804292927028 7.593256798114219 1.0 17.417640832860574
4096 9.631499321583751 6.6899116828336975 7.162241691385174 1.0 15.333662472982876
8192 9.238152120754783 6.361051384841039 6.842555767980027 1.0 14.134371180841045
16384 8.485709349743923 5.71952621414157 6.072027100645992 1.0 12.615611515741733
32768 7.23955531385677 4.913997892687801 5.6684866518057895 1.0 10.267595763322424
65536 6.171424893716483 4.338791834513721 5.9159519476291935 1.0 8.132239039710573
131072 3.7914120088730274 2.719125284951451 5.021775096307322 1.0 5.122210598233469
262144 2.4675105239546764 1.7587873197895167 3.828147968231009 1.0 3.9047109275956293
524288 1.9132197249445315 1.5618972138370975 2.6924783610149023 1.0 2.7463279282352
1048576 1.4447769975734777 1.311653476086935 2.3369969062082787 1.0 2.3837368443324443
2097152 1.236107369384448 1.2047316304712596 2.2093396065087387 1.0 2.2535263986389134
4194304 1.1154842362961481 1.1273541503099853 2.182595179829011 1.0 2.226247083425591
8388608 1.0921505384521633 1.1228686797934806 2.1114625495846537 1.0 2.153691800576347
16777216 1.0607991284597522 1.1004922681859388 2.1305988757053687 1.0 2.173210853219476
33554432 1.0447576537078067 1.0875782473271352 2.119080120207613 1.0 2.161461722611765
67108864 1.0378988606891715 1.0945439096683436 2.108671587276261 1.0 2.1508450190217863
134217728 1.034301292799049 1.0994271980234342 2.1449959335512543 1.0 2.1878958522222796
268435456 1.028878840097196 1.0989493030664004 2.169747216183898 1.0 2.213142160507576
536870912 1.0276013847712622 1.101249662697396 2.2275708920725603 1.0 2.2721223099140118
1073741824 1.0 1.0 1.0 1.0 1095216660.48
